PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is in sitemap,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Referenced in sitemaps,No. of all inlinks
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-selatan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-tengah,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-selatan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-kuin,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-kuin,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-lok-baintan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-utara,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-selatan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-barat,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-barat,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-gatot-subroto,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-utara,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-sungai-andai,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-sultan-adam,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-banjarmasin-timur,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-gatot-subroto,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-selatan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-kuin,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-kuin,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-sungai-andai,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-kayutangi,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-kayutangi,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-timur,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-banjarmasin-barat,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-banjarmasin-barat,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-timur,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-lok-baintan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-sungai-andai,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kuin,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-kuin,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-banjarmasin-tengah,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-gatot-subroto,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-kayutangi,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-kayutangi,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-sungai-andai,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-malam-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-gatot-subroto,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-timur,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
