PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of redirect inlinks,No. of href inlinks
0,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-selatan,Tempat Wisata di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-gatot-subroto,Sewa Mobil di Gatot Subroto | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-sungai-andai,Tempat Nongkrong di Sungai Andai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-sungai-andai,Sewa Mobil di Sungai Andai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-banjarmasin-tengah,Sewa Mobil di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-timur,Sewa Mobil di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/ms/explore/wisata-kuliner-di-kayutangi,Wisata Kuliner di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-sultan-adam,Sewa Mobil di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/zh/explore/sewa-mobil-di-banjarmasin-selatan,Sewa Mobil di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/tempat-wisata-di-gatot-subroto,Tempat Wisata di Gatot Subroto | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-sungai-andai,Tempat Nongkrong di Sungai Andai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-kayutangi,Oleh-oleh Khas di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
