PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,H1,H1 length,No. of H1,Is indexable page
5,https://www.visitbanjarmasin.id/en,Visit Banjarmasin | Explore Tourism & Culture,text/html; charset=utf-8,false,200,0,2,"Welcome to the City of a Thousand Rivers!
Exotics of Life Above Water
Symphony of Authentic Borneo Spices
Elegance of Ancestral Traditions
Smart City of a Thousand Rivers
Welcome to the City of a Thousand Rivers!
Exotics of Life Above Water
Symphony of Authentic Borneo Spices
Elegance of Ancestral Traditions
Smart City of a Thousand Rivers","41
27
35
32
31
41
27
35
32
31",10,false
5,https://www.visitbanjarmasin.id/zh,马辰旅游 | 探索旅游与文化,text/html; charset=utf-8,false,200,0,2,"欢迎来到千河之城！
水上生活的异国情调
正宗婆罗洲香料的交响乐
祖先传统的优雅
千河之城的智慧都市
欢迎来到千河之城！
水上生活的异国情调
正宗婆罗洲香料的交响乐
祖先传统的优雅
千河之城的智慧都市","9
9
11
7
9
9
9
11
7
9",10,false
5,https://www.visitbanjarmasin.id/ms,Visit Banjarmasin | Penerokaan Pelancongan,text/html; charset=utf-8,false,200,0,2,"Selamat Datang ke Kota Seribu Sungai!
Eksotik Kehidupan di Atas Air
Simfoni Rempah Autentik Borneo
Keanggunan Tradisi Warisan
Bandar Pintar Seribu Sungai
Selamat Datang ke Kota Seribu Sungai!
Eksotik Kehidupan di Atas Air
Simfoni Rempah Autentik Borneo
Keanggunan Tradisi Warisan
Bandar Pintar Seribu Sungai","37
29
30
26
27
37
29
30
26
27",10,false
5,https://www.visitbanjarmasin.id/id,Visit Banjarmasin | Eksplorasi Wisata & Budaya,text/html; charset=utf-8,false,200,0,1,"Selamat Datang di Kota Seribu Sungai!
Eksotika Kehidupan di Atas Air
Simfoni Rempah Autentik Borneo
Keanggunan Tradisi Leluhur
Smart City Seribu Sungai
Selamat Datang di Kota Seribu Sungai!
Eksotika Kehidupan di Atas Air
Simfoni Rempah Autentik Borneo
Keanggunan Tradisi Leluhur
Smart City Seribu Sungai","37
30
30
26
24
37
30
30
26
24",10,false
