PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,No. of all inlinks,First found at
0,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-lok-baintan,Wisata Kuliner di Lok Baintan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-lok-baintan,308,,,0,1,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-lok-baintan
0,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-kayutangi,Wisata Malam di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/explore/wisata-malam-di-kayutangi,308,,,0,1,https://visitbanjarmasin.id/en/explore/wisata-malam-di-kayutangi
0,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-kayutangi,Hotel Murah di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/hotel-murah-di-kayutangi,308,,,0,1,https://visitbanjarmasin.id/id/explore/hotel-murah-di-kayutangi
0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-lok-baintan,Oleh-oleh Khas di Lok Baintan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-lok-baintan,308,,,0,1,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-lok-baintan
0,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-barat,Sewa Mobil di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-barat,308,,,0,1,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-barat
0,https://www.visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-selatan,Wisata Kuliner di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-selatan,308,,,0,1,https://visitbanjarmasin.id/ms/explore/wisata-kuliner-di-banjarmasin-selatan
0,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-kayutangi,Hotel Murah di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/explore/hotel-murah-di-kayutangi,308,,,0,1,https://visitbanjarmasin.id/en/explore/hotel-murah-di-kayutangi
0,https://www.visitbanjarmasin.id/en/explore/tempat-wisata-di-sultan-adam,Tempat Wisata di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/explore/tempat-wisata-di-sultan-adam,308,,,0,1,https://visitbanjarmasin.id/en/explore/tempat-wisata-di-sultan-adam
0,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-gatot-subroto,Tempat Nongkrong di Gatot Subroto | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-gatot-subroto,308,,,0,1,https://visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-gatot-subroto
0,https://www.visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-banjarmasin-utara,Tempat Nongkrong di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-banjarmasin-utara,308,,,0,1,https://visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-banjarmasin-utara
0,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-lok-baintan,Wisata Kuliner di Lok Baintan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/explore/wisata-kuliner-di-lok-baintan,308,,,0,1,https://visitbanjarmasin.id/en/explore/wisata-kuliner-di-lok-baintan
0,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-banjarmasin-timur,Wisata Kuliner di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/explore/wisata-kuliner-di-banjarmasin-timur,308,,,0,1,https://visitbanjarmasin.id/en/explore/wisata-kuliner-di-banjarmasin-timur
0,https://www.visitbanjarmasin.id/zh/explore/tempat-wisata-di-banjarmasin-tengah,Tempat Wisata di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/tempat-wisata-di-banjarmasin-tengah,308,,,0,1,https://visitbanjarmasin.id/zh/explore/tempat-wisata-di-banjarmasin-tengah
0,https://www.visitbanjarmasin.id/ms/explore/wisata-kuliner-di-sungai-andai,Wisata Kuliner di Sungai Andai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/wisata-kuliner-di-sungai-andai,308,,,0,1,https://visitbanjarmasin.id/ms/explore/wisata-kuliner-di-sungai-andai
0,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-tengah,Tempat Nongkrong di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-tengah,308,,,0,1,https://visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-tengah
0,https://www.visitbanjarmasin.id/ms/explore/wisata-malam-di-kuin,Wisata Malam di Kuin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/wisata-malam-di-kuin,308,,,0,1,https://visitbanjarmasin.id/ms/explore/wisata-malam-di-kuin
0,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-kayutangi,Wisata Malam di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-kayutangi,308,,,0,1,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-kayutangi
0,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,Hotel Murah di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,308,,,0,1,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah
0,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-tengah,Tempat Nongkrong di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-tengah,308,,,0,1,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-tengah
0,https://www.visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-selatan,Hotel Murah di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-selatan,308,,,0,1,https://visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-selatan
0,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-timur,Oleh-oleh Khas di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-timur,308,,,0,1,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-timur
0,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-tengah,Wisata Kuliner di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-tengah,308,,,0,1,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-tengah
0,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-barat,Wisata Malam di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-barat,308,,,0,1,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-barat
0,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-utara,Tempat Nongkrong di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-utara,308,,,0,1,https://visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-utara
0,https://www.visitbanjarmasin.id/id/profil-kota,Profil Kota Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/profil-kota,308,,,0,1,https://visitbanjarmasin.id/id/profil-kota
0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sultan-adam,Oleh-oleh Khas di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sultan-adam,308,,,0,1,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sultan-adam
0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-banjarmasin-selatan,Oleh-oleh Khas di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-banjarmasin-selatan,308,,,0,1,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-banjarmasin-selatan
0,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-tengah,Oleh-oleh Khas di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-tengah,308,,,0,1,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-tengah
0,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-banjarmasin-utara,Hotel Murah di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/explore/hotel-murah-di-banjarmasin-utara,308,,,0,1,https://visitbanjarmasin.id/en/explore/hotel-murah-di-banjarmasin-utara
0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-banjarmasin-timur,Sewa Mobil di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/sewa-mobil-di-banjarmasin-timur,308,,,0,1,https://visitbanjarmasin.id/ms/explore/sewa-mobil-di-banjarmasin-timur
0,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-tengah,Tempat Wisata di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-tengah,308,,,0,1,https://visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-tengah
0,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-tengah,Tempat Wisata di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-tengah,308,,,0,1,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-tengah
0,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-gatot-subroto,Wisata Malam di Gatot Subroto | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-gatot-subroto,308,,,0,1,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-gatot-subroto
0,https://www.visitbanjarmasin.id/ms/explore/wisata-malam-di-banjarmasin-timur,Wisata Malam di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/ms/explore/wisata-malam-di-banjarmasin-timur,308,,,0,1,https://visitbanjarmasin.id/ms/explore/wisata-malam-di-banjarmasin-timur
0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-sungai-andai,Oleh-oleh Khas di Sungai Andai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-sungai-andai,308,,,0,1,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-sungai-andai
0,https://www.visitbanjarmasin.id/en/explore/oleh-oleh-khas-di-banjarmasin-timur,Oleh-oleh Khas di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,false,https://visitbanjarmasin.id/en/explore/oleh-oleh-khas-di-banjarmasin-timur,308,,,0,1,https://visitbanjarmasin.id/en/explore/oleh-oleh-khas-di-banjarmasin-timur
