PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,No. of all inlinks
32,https://visitbanjarmasin.id/,,text/plain,false,308,43,0,https://www.visitbanjarmasin.id/,307,,,37
8,https://visitbanjarmasin.id/id/budaya,,text/plain,false,308,8,0,https://www.visitbanjarmasin.id/id/budaya,200,,,45
7,https://visitbanjarmasin.id/id/kuliner,,text/plain,false,308,6,0,https://www.visitbanjarmasin.id/id/kuliner,200,,,45
1,https://visitbanjarmasin.id/id/profil,,text/plain,false,308,1,0,https://www.visitbanjarmasin.id/id/profil,200,,,9
1,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-selatan,,text/plain,false,308,1,1,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-selatan,200,,,2
