PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Title patch,Title patch status,Title length,No. of titles,Is indexable page
21,https://www.visitbanjarmasin.id/zh/culture-verse,Visit Banjarmasin | Portal Eksplorasi Wisata & Budaya Kota Seribu Sungai,text/html; charset=utf-8,false,200,0,3,,,72,1,true
21,https://www.visitbanjarmasin.id/ms/culture-verse,Visit Banjarmasin | Portal Eksplorasi Wisata & Budaya Kota Seribu Sungai,text/html; charset=utf-8,false,200,0,3,,,72,1,true
21,https://www.visitbanjarmasin.id/id/culture-verse,Visit Banjarmasin | Portal Eksplorasi Wisata & Budaya Kota Seribu Sungai,text/html; charset=utf-8,false,200,0,2,,,72,1,true
21,https://www.visitbanjarmasin.id/en/culture-verse,Visit Banjarmasin | Portal Eksplorasi Wisata & Budaya Kota Seribu Sungai,text/html; charset=utf-8,false,200,0,3,,,72,1,true
