PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is in sitemap,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Referenced in sitemaps,No. of all inlinks
34,https://visitbanjarmasin.id/,,text/plain,false,308,43,true,https://www.visitbanjarmasin.id/,200,,,https://www.visitbanjarmasin.id/sitemap.xml,66
0,https://visitbanjarmasin.id/explore/tempat-wisata-di-sultan-adam,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/explore/tempat-wisata-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
0,https://visitbanjarmasin.id/explore/wisata-kuliner-di-banjarmasin-barat,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/explore/wisata-kuliner-di-banjarmasin-barat,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
0,https://visitbanjarmasin.id/explore/sewa-mobil-di-kayutangi,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/explore/sewa-mobil-di-kayutangi,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
0,https://visitbanjarmasin.id/explore/tempat-nongkrong-di-kayutangi,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-kayutangi,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
0,https://visitbanjarmasin.id/explore/hotel-murah-di-banjarmasin-timur,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/explore/hotel-murah-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
0,https://visitbanjarmasin.id/blog/panduan-naik-brt-banjarbakula,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/blog/panduan-naik-brt-banjarbakula,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-banjarmasin-selatan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/explore/oleh-oleh-khas-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-sungai-andai,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/explore/oleh-oleh-khas-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
0,https://visitbanjarmasin.id/explore/wisata-malam-di-banjarmasin-selatan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/explore/wisata-malam-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,9
