PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-banjarmasin-tengah,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-banjarmasin-tengah,200,false,6,0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-banjarmasin-tengah
0,https://visitbanjarmasin.id/explore/tempat-nongkrong-di-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-lok-baintan,200,false,9,0,
0,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-lok-baintan,200,false,6,0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-lok-baintan
0,https://visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-banjarmasin-selatan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/zh/explore/oleh-oleh-khas-di-banjarmasin-selatan,200,false,6,0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-banjarmasin-selatan
0,https://visitbanjarmasin.id/ms/profil-kota,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/profil-kota,200,,,https://www.visitbanjarmasin.id/ms/profil-kota,200,false,6,0,https://visitbanjarmasin.id/profil-kota
0,https://visitbanjarmasin.id/zh/explore/wisata-kuliner-di-sungai-andai,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/wisata-kuliner-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/zh/explore/wisata-kuliner-di-sungai-andai,200,false,6,0,https://visitbanjarmasin.id/explore/wisata-kuliner-di-sungai-andai
0,https://www.visitbanjarmasin.id/id,,text/plain,false,308,0,https://www.visitbanjarmasin.id/,200,,,https://www.visitbanjarmasin.id/,200,false,1,1,https://visitbanjarmasin.id/id
0,https://visitbanjarmasin.id/sitemap.xml,,text/plain,false,308,0,https://www.visitbanjarmasin.id/sitemap.xml,200,,,https://www.visitbanjarmasin.id/sitemap.xml,200,false,0,0,
0,https://visitbanjarmasin.id/explore/sewa-mobil-di-banjarmasin-barat,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/sewa-mobil-di-banjarmasin-barat,200,,,https://www.visitbanjarmasin.id/explore/sewa-mobil-di-banjarmasin-barat,200,false,9,0,
0,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-lok-baintan,200,false,6,0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-lok-baintan
0,https://visitbanjarmasin.id/en/blog/panduan-naik-brt-banjarbakula,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/blog/panduan-naik-brt-banjarbakula,200,,,https://www.visitbanjarmasin.id/en/blog/panduan-naik-brt-banjarbakula,200,false,6,0,https://visitbanjarmasin.id/blog/panduan-naik-brt-banjarbakula
0,https://visitbanjarmasin.id/zh/explore/wisata-kuliner-di-gatot-subroto,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/wisata-kuliner-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/zh/explore/wisata-kuliner-di-gatot-subroto,200,false,6,0,https://visitbanjarmasin.id/explore/wisata-kuliner-di-gatot-subroto
